Unnamed: 0,Población ocupada (%),Trabajadores de baja calificación (%),Población con estudios bajos (%),Población joven sin estudios postobligatorios (%),Extranjeros de países de renta baja o media (%),Renta media por persona (€)
"Abrera 1 (Nord, Est i Oest)",75.0,8.4,9.4,5.2,3.4,16404.0
Abrera 2 (Centre i Sud),68.4,12.4,17.0,7.0,8.3,14951.0
"Ametlla del Vallès, l'",72.0,6.5,6.4,8.5,2.9,20735.0
Arenys de Mar 1 (Nord-est),65.7,8.1,11.6,15.2,7.7,16574.0
Arenys de Mar 2 (Sud-oest),65.7,9.7,12.8,16.7,7.7,15425.0
Badalona 1 (Centre),73.3,4.2,8.9,6.6,3.8,20910.0
Badalona 2 (Coll i Pujol - Dalt la Vila),71.8,6.0,10.2,8.8,4.8,18555.0
Badalona 3 (Raval - Can Claris),70.2,9.3,14.6,16.9,9.9,15424.0
Badalona 4 (Progrés - sector Plaça de Pep Ventura),71.4,6.5,13.2,13.0,7.7,16906.0
Badalona 5 (Progrés - sector Pont del Petroli),74.6,4.5,9.9,11.2,6.2,18713.0
Badalona 6 (Gorg - Congrés),66.9,13.4,18.5,21.3,17.4,13806.0
Badalona 7 (Sant Roc Sud-est - la Mora - el Remei),51.9,17.9,20.9,51.2,25.9,10418.0
Badalona 8 (Sant Roc Est - sector Plaça Roja),50.0,23.4,28.5,53.3,25.3,9290.0
Badalona 9 (Sant Roc Oest - sector Plaça de Camarón de la Isla),43.9,26.5,26.3,60.9,30.4,7477.0
Badalona 10 (Artigas),57.2,19.5,19.6,38.2,33.1,9616.0
Badalona 11 (Sant Mori de Llefià - sector Carrer de Guasch),63.8,15.6,19.4,24.2,17.4,12687.0
Badalona 12 (Sant Mori de Llefià - sector Carretera Antiga de València),63.4,17.5,21.4,28.9,17.7,11707.0
Badalona 13 (Sant Antoni de Llefià),63.4,18.1,21.9,29.3,18.4,11208.0
Badalona 14 (Sant Joan de Llefià),60.9,19.3,19.0,33.6,20.3,10844.0
Badalona 15 (la Salut Nord - sector Grup Verge de la Salut),58.7,19.7,23.7,38.9,23.5,10174.0
Badalona 16 (la Salut Centre),55.2,19.6,22.5,37.3,33.8,9110.0
Badalona 17 (la Salut Sud - sector Mercat de la Salut),60.4,19.5,20.3,34.0,27.4,10632.0
Badalona 18 (Sistrells),63.2,16.4,18.7,29.0,16.0,11930.0
Badalona 19 (la Pau),56.2,20.1,26.6,37.2,30.2,9600.0
Badalona 20 (Puigfred),66.5,14.0,20.5,23.1,12.7,12922.0
Badalona 21 (Montigalà),65.8,9.0,12.2,18.3,4.1,16063.0
Badalona 22 (Lloreda),69.3,13.8,17.2,22.5,8.5,12988.0
Badalona 23 (Nova Lloreda),69.6,10.9,17.6,15.8,3.6,14947.0
Badalona 24 (Sant Crist de Can Cabanyes),63.4,17.1,19.9,31.3,16.1,11738.0
Badalona 25 (Bufalà Oest - sector Can Barriga),71.7,8.1,9.7,15.7,2.0,16696.0
Badalona 26 (Bufalà Nord - Bonavista),70.6,9.2,14.7,21.7,5.2,14697.0
Badalona 27 (Bufalà Sud - sector Can Boscà),73.4,10.4,13.7,18.6,6.0,15084.0
Badalona 28 (Morera),72.5,8.3,13.5,14.2,4.3,15528.0
Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar),64.2,16.5,19.9,28.0,4.0,13841.0
Badalona 30 (Casagemes - Canyadó - Manresà - les Guixeres),75.1,4.8,11.2,10.9,3.3,18686.0
Barcelona 1 (el Liceu i les Drassanes),54.7,12.8,18.1,29.4,37.3,10867.0
Barcelona 2 (Sant Pau),55.2,12.1,18.8,31.9,36.3,11050.0
Barcelona 3 (la Riereta),55.9,15.1,21.9,39.7,46.2,9245.0
Barcelona 4 (el Pedró),59.1,13.9,17.9,33.7,40.0,10316.0
Barcelona 5 (Ponent),61.0,16.6,17.4,29.4,41.4,10609.0
Barcelona 6 (Tallers i els Àngels),58.7,9.4,13.3,19.7,30.4,12984.0
"Barcelona 7 (Santa Anna, el Pi i la Plaça Reial)",54.8,6.9,9.9,14.0,21.7,15645.0
