Curs,Estudi,Codi àrea territorial,Àrea territorial,Codi comarca,Comarca,Codi municipi,Municipi,Codi districte,Districte,Naturalesa,Titularitat,Nivell,Sexe,Concert,Resultat de l'avaluació,Alumnes avaluats
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,1,DONA,SI,PROMOCIONEN AMB PENDENTS,1
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,1,DONA,SI,PROMOCIONEN SENSE PENDENTS,13
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,1,HOME,SI,PROMOCIONEN AMB PENDENTS,3
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,1,HOME,SI,PROMOCIONEN SENSE PENDENTS,14
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,2,DONA,SI,PROMOCIONEN AMB PENDENTS,3
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,2,DONA,SI,PROMOCIONEN SENSE PENDENTS,9
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,2,HOME,SI,PROMOCIONEN AMB PENDENTS,3
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,2,HOME,SI,PROMOCIONEN SENSE PENDENTS,15
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,3,DONA,SI,NO PROMOCIONEN,1
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,FUNDACIONS,3,DONA,SI,PROMOCIONEN SENSE PENDENTS,13
