Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,1302
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,1400
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,3467
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,2945
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,2338
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,1613
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,1899
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,3245
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,2154
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,2278
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,3077
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,1902
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,1433
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,1984
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,2231
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,2064
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,2520
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,1522
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,2845
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,2216
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,2085
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1606
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1962
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1299
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,8923
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1485
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1925
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1410
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2500
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1638
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1726
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1055
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,898
