Comarca codi,Comarca,SSTT codi,SSTT,Municipi codi,Municipi,Districte codi,Naturalesa,Estudis,Nivell,Sexe,Promo/gradua sense pendents juny,'Avaluats',N Avaluats estudi
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,2
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,23
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,4
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,8
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,16
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,3
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Repeteixen,Repeteixen,1
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,5
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,17
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,2
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,10
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,17
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,7
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,2
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,14
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,3
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Repeteixen,Repeteixen,2
