SSTT;Comarca;Municipi;Districte codi;Naturalesa;Concert;Estudis codi;Nivell;Avaluats;Sexe;N Avaluats
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;HAN DE REPETIR;DONA;3
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;HAN DE REPETIR;HOME;2
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;34
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;26
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;6
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;9
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;DONA;10
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;HOME;22
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;HAN DE REPETIR;DONA;8
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;HAN DE REPETIR;HOME;3
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;38
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;19
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;2
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;10
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;DONA;13
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;HOME;16
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;HAN DE REPETIR;DONA;9
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;HAN DE REPETIR;HOME;8
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;26
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;24
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;5
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;7
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;DONA;13
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;HOME;24
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;EXPEDICIÓ DEL CERTIFICAT;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;HAN DE REPETIR;DONA;2
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;HAN DE REPETIR;HOME;2
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;23
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;31
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;11
BAIX LLOBREGAT;BAIX LLOBREGAT;ABRERA;0800100;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;12
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;31
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;18
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;9
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;1;PROMOCIÓ AMB PENDENTS;DONA;2
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;1;PROMOCIÓ AMB PENDENTS;HOME;2
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;32
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;16
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;2;PROMOCIÓ AMB PENDENTS;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;2;PROMOCIÓ AMB PENDENTS;HOME;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;19
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;18
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;3
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;8
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;3;PROMOCIÓ AMB PENDENTS;DONA;3
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;3;PROMOCIÓ AMB PENDENTS;HOME;6
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;18
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;19
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;6
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;HAN DE REPETIR;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;20
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;15
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;5
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;HOME;6
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;19
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;18
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;3
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;HOME;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;HAN DE REPETIR;HOME;2
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;19
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;10
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;5
