Àrea teritorial codi,Àrea territorial,Comarca codi,Comarca,Municipi codi,Municipi,Districte codi,Naturalesa,Titularitat,Estudis,Curs,Sexe,Concert,Resultat de l'avaluació,Nombre d'avaluats
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Alumnes avaluats,6
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Promocionen al mes de juny,4
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Promocionen al mes de setembre,1
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Promocionen amb pendents,1
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,SI,Alumnes avaluats,6
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,SI,Promocionen al mes de juny,6
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,SI,Alumnes avaluats,1
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,SI,Promocionen amb pendents,1
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,SI,Alumnes avaluats,7
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,SI,Promocionen al mes de juny,4
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,SI,Promocionen amb pendents,3
