"ANY","CODI_ALUMNE","PCAT","PCAT_CL","PCAT_EE","PCAST","PCAST_CL","PCAST_EE","PANG","PANG_CO","PANG_CL","PANG_EE","PFRAN","PFRAN_CO","PFRAN_CL","PFRAN_EE","PMAT","PMAT_EFM","PMAT_CR","PMAT_EST","PMAT_NC","PALE","PALE_CO","PALE_CL","PALE_EE","PCIEN","PCIEN_COMP1","PCIEN_COMP2","PCIEN_COMP3","PCIEN_COMP4","GENERE","MES_NAIXEMENT","ANY_NAIXEMENT","NATURALESA","ÀREA TERRITORIAL","HÀBITAT"
"2022","12305619715","98,75","100","96,88","96,25","100","90,63","95,4","100","96","90","","","","","88,61","88.89","88,89","88,89","87,5","","","","","82,78","83,33","100","65","","D","1","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1909421664","85,3","88","81,25","80,3","88","68,75","96,8","100","92","100","","","","","87,5","100","77,78","88,89","87,5","","","","","79,44","83,33","100","55","","D","3","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1824190139","97,6","96","100","83,85","96","65,63","100","100","100","100","","","","","84,17","66.67","77,78","100","87,5","","","","","75,74","83,33","88,89","55","","H","6","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1534899721","59,45","72","40,63","77,8","88","62,5","49,2","33,33","68","40","","","","","78,61","55.56","66,67","100","87,5","","","","","57,22","50","66,67","55","","H","6","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1823245243","88","80","100","91,45","92","90,63","87,8","100","92","70","","","","","58,89","44.44","33,33","100","50","","","","","82,22","66,67","100","80","","H","8","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","12658903382","89,05","88","90,63","93,9","94","93,75","90,8","100","92","80","","","","","96,67","100","88,89","100","100","","","","","84,07","83,33","88,89","80","","H","5","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1825270013","81,6","86","75","83,9","94","68,75","93,8","100","92","90","","","","","71,11","88.89","55,56","88,89","50","","","","","76,67","83,33","66,67","80","","D","10","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1825248459","93,95","92","96,88","91,5","90","93,75","98,4","100","96","100","","","","","63,89","77.78","44,44","100","25","","","","","78,52","66,67","88,89","80","","D","6","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","1823257464","71,65","84","53,13","85,2","92","75","57","53,33","80","30","","","","","62,22","44.44","55,56","88,89","50","","","","","75,37","83,33","77,78","65","","H","4","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
"2022","6346282304","85,3","88","81,25","90","100","75","89","93,33","100","70","","","","","78,33","66.67","77,78","88,89","75","","","","","87,78","83,33","100","80","","H","12","2006","Privada","Consorci d'Educació de Barcelona","Més de 100000"
