Curs;Estudis;Codi àrea territorial;Àrea territorial;Naturalesa;Titularitat;Matrícula concertada (S/N);Sexe;NESE agrupació;NESE descripció;Alumnes matriculats
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;13
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;21
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;27
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;13
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;31
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;40
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;14
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;5
