Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1.,Alumnes del curs origen 2018-2019 segons els ensenyaments de destinació 2019-2020,,,,,,,,,,,,,
,"Catalunya, 2019-2020",,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2019-2020,,,,,,,
origen 2018-2019,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,81743,76629,3296,73333,,,,,,,,,,
4t ESO,75394,66238,,2966,45359,,17514,,,,399,,,
1r BATX,49079,46162,,2,3283,39132,3489,111,50,,90,1,4,
2n BATX,43505,11530,,,7,3770,353,18,6920,14,8,,440,
1r CFPM,37145,27651,,1,237,30,7477,17298,2488,89,26,1,3,1
2n CFPM,24360,15248,,,68,12,671,6647,7672,145,13,1,19,
1r CFPS,31001,26326,,,8,3,100,23,2570,23599,1,,18,4
2n CFPS,31377,8690,,,3,3,101,32,1007,7508,,,31,5
1r CFAM,813,610,,,3,2,27,1,1,,91,471,14,
2n CFAM,640,444,,,2,1,10,,7,,2,179,236,7
1r CFAS,1814,1387,,,1,1,3,,34,2,1,1,194,1150
2n CFAS,1949,828,,,,,5,1,32,6,2,3,73,706
Alumnes,378820,281743,3296,76302,48971,42954,29750,24131,20781,31363,633,657,1032,1873
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2.,Distribució dels alumnes del curs origen 2018-2019 segons els ensenyaments de destinació 2019-2020,,,,,,,,,,,,,
,"Catalunya, 2019-2020",,,,,,,,,,,,,%
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2019-2020,,,,,,,
origen 2018-2019,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,93.74380680914574,4.032149541856795,89.71165726728894,0,0,0,0,0,0,0,0,0,0
4t ESO,100,87.85579754357111,0,3.9340000530546195,60.16261240947556,0,23.229965249224076,0,0,0,0.5292198318168555,0,0,0
1r BATX,100,94.0565211190122,0,0.004075062654088307,6.6892153466859545,79.73267588989181,7.10894680005705,0.226165977301901,0.10187656635220767,0,0.1833778194339738,0.0020375313270441535,0.008150125308176614,0
2n BATX,100,26.502700838984026,0,0,0.016090104585679808,8.665670612573267,0.8114009883921388,0.041374554648890935,15.906217676129181,0.032180209171359615,0.018388690955062636,0,1.0113780025284451,0
