origen 2019-2020,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,83663,79967,1700,78161,0,0,0,0,0,0,0,0,0,0
4t ESO,79261,69840,0,2124,48328,0,18860,0,0,0,430,0,0,0
1r BATX,50627,48292,0,0,2034,43311,2733,74,31,1,89,10,3,0
2n BATX,43810,10072,0,0,1,1863,364,20,7309,35,7,0,472,1
1r CFPM,38009,29310,0,0,232,39,6765,19205,2954,86,28,0,1,0
2n CFPM,24779,15882,0,0,35,6,748,5932,8944,180,6,1,29,1
1r CFPS,31990,27662,0,0,6,3,101,26,2096,25416,0,1,12,1
2n CFPS,32216,8256,0,0,2,1,124,31,1034,7034,1,0,26,3
1r CFAM,749,660,0,0,6,12,20,0,0,0,95,523,4,0
2n CFAM,668,411,0,0,3,0,10,1,18,,9,129,222,19
1r CFAS,1746,1424,0,0,0,0,6,1,20,2,2,5,223,1165
2n CFAS,1940,845,0,0,0,0,4,,38,4,1,1,75,722
Alumnes,389458,292621,1700,80285,50647,45235,29735,25290,22444,32758,668,670,1067,1912
