origen 2020-2021,Total,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,84477,80322,2404,77820,0,0,0,0,0,0,0,0,0,0
4t ESO,82096,70236,0,2564,49001,,18066,0,0,0,482,0,0,0
1r BATX,52177,49254,0,0,2880,42525,3623,77,27,0,103,17,2,0
2n BATX,45903,11962,0,0,4,3174,501,27,7738,15,11,1,491,0
1r CFPM,38136,29791,0,0,248,25,7196,19152,3091,36,36,1,5,0
2n CFPM,25709,16815,0,0,48,5,719,6249,9608,116,14,0,55,1
1r CFPS,32063,28098,0,0,2,4,98,20,2456,25505,0,0,12,1
2n CFPS,33347,8904,0,0,1,0,154,24,1149,7529,0,1,44,2
1r CFAM,781,638,0,0,9,13,16,2,0,0,85,499,13,1
2n CFAM,664,464,0,0,2,8,11,0,40,1,8,135,252,7
1r CFAS,1720,1384,0,0,0,0,8,0,21,1,0,2,177,1175
2n CFAS,1945,786,0,0,0,0,4,1,45,3,1,5,79,648
Alumnes,399018,298654,2404,80384,52195,45754,30396,25552,24175,33206,740,661,1130,1835
