origen 2021-2022,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,84955,80812,2170,78439,0,0,203,0,0,0,0,0,0,0,0
4t ESO,82200,72543,0,2998,47716,0,33,21289,0,0,0,507,0,0,0
1r BATX,53489,50772,0,0,3092,43299,0,4095,114,23,0,131,14,4,0
2n BATX,46175,11801,0,0,0,2984,0,482,24,7773,18,18,2,500,0
1r CFPM,40573,30847,0,0,211,35,,8217,20595,1703,39,37,2,7,1
2n CFPM,26179,16702,0,0,28,5,0,726,6119,9608,148,7,1,60,0
1r CFPS,35034,29278,0,0,3,4,0,104,40,2711,26396,1,0,15,4
2n CFPS,33944,8569,0,0,3,1,0,129,9,1183,7203,0,0,39,2
1r CFAM,869,755,0,0,17,5,0,23,3,2,0,132,546,26,1
2n CFAM,656,504,0,0,1,4,0,10,0,36,0,12,129,307,5
1r CFAS,1868,1533,0,0,0,0,0,7,1,31,0,3,0,224,1267
2n CFAS,1904,872,0,0,0,0,0,6,0,18,3,5,4,68,768
Alumnes,407846,304988,2170,81437,51071,46337,236,35088,26905,23088,33807,853,698,1250,2048
