
origen 2016-2017,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,93.17652661657317,5.431791723991957,87.74473489258122,0,0,0,0,0,0,0,0,0,0
4t ESO,100,87.75737817433081,0,4.658544955387783,61.634923358499194,0,20.960592541752458,0,0,0,0.503317318691375,0,0,0
1r BATX,100,93.7064499746064,0,0,7.756221432199085,78.08430675469782,7.1934992381919765,0.2254951752158456,0.17470797359065515,0,0.2519045200609446,0.008125952260030472,0.012188928390045707,0
2n BATX,100,28.027961386656518,0,0,0.035665034000665743,9.902991107518188,0.8773598364163774,0.07608540586808693,16.077797327500118,0.03328736506728803,0.023776689333777162,0.0023776689333777166,0.9986209520186409,0
1r CFPM,100,72.04288842751913,0,0,0.7422997070618015,0.18770797190068542,20.99200819089332,45.40257671852336,4.431045760928301,0.19339609226131227,0.07678962486846222,0,0.017064361081880492,0
2n CFPM,100,59.35828877005348,0,0,0.2947492526001095,0.08421407217145985,3.696997768327087,30.62865804875995,23.954692829171755,0.589498505200219,0.042107036085729924,0,0.06316055412859489,0.004210703608572993
1r CFPS,100,83.68841105467976,0,0,0.023085548446672384,0.023085548446672384,0.3627729041619946,0.13521535518765251,8.192071763076314,74.90271090297473,0,0.0032979354923817687,0.03957522590858123,0.006595870984763537
2n CFPS,100,28.582908252393267,0,0,0.013975263783103906,0.020962895674655858,0.3528754105233736,0.09433303053595136,3.584655160366152,24.397316749353646,0,0,0.11529592621060722,0.0034938159457759766
1r CFAM,100,83.97163120567376,0,0,0.9929078014184398,0.14184397163120568,1.702127659574468,0,0.425531914893617,0,13.75886524822695,65.95744680851064,0.851063829787234,0.14184397163120568
2n CFAM,100,61.63636363636364,0,0,0.18181818181818182,0,0.7272727272727273,0.5454545454545455,2.181818181818182,0,0.5454545454545455,21.454545454545453,33.45454545454545,2.5454545454545454
1r CFAS,100,78.8607594936709,0,0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0,1.7088607594936709,0.06329113924050633,0.12658227848101267,0.25316455696202533,11.075949367088606,65.25316455696203
2n CFAS,100,45.39007092198582,0,0,0,0,0.25329280648429586,0.050658561296859174,1.21580547112462,0.1519756838905775,0.050658561296859174,0,3.7487335359675784,39.918946301925025
Total,100,73.93608438996979,1.1422244724235966,19.357728236256307,13.155332513617118,11.879579607982775,7.528221790727563,6.524254883524261,4.915793631806473,8.323550521039074,0.1741433316456823,0.16496325186244346,0.25898952358167765,0.511302625502818
