origen 2020-2021,TotalPctg,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,94.96549356629615,2.8457449956792975,92.11974857061685,0,0,0,0,0,0,0,0,0,0
4t ESO,100,85.40367374780745,0,3.123172870785422,59.68743909569285,0,22.005944260378094,0,0,0,0.5871175209510817,0,0,0
1r BATX,100,94.39791479004157,0,0,5.51967341932269,81.5014278321866,6.9436724993771195,0.14757460183605803,0.05174693830615022,0,0.19740498687161012,0.03258140560016866,0.0038331065411963128,0
2n BATX,100,26.059298956495223,0,0,0.00871402740561619,6.914580746356447,1.0914319325534279,0.05881968498790929,16.857286016164522,0.032677602771060715,0.023963575365444526,0.0021785068514040477,1.0696468640393875,0
1r CFPM,100,78.11516677155444,0,0,0.6503041745332494,0.06555485630375497,18.869309838472834,50.22026431718062,8.105202433396267,0.09439899307740718,0.09439899307740718,0.002622194252150199,0.013110971260750996,0
2n CFPM,100,65.40511105060486,0,0,0.18670504492590145,0.019448442179781398,2.796685985452565,24.306663036290793,37.37212649266794,0.45120385857092843,0.054455638103387924,0,0.21393286397759537,0.0038896884359562794
1r CFPS,100,87.6337211115616,0,0,0.006237719489754545,0.01247543897950909,0.3056482549979727,0.06237719489754546,7.659919533418583,79.54651779309484,0,0,0.03742631693852727,0.0031188597448772726
2n CFPS,100,26.701052568446936,0,0,0.0029987705040933218,0,0.4618106576303715,0.07197049209823972,3.4455873092032268,22.57774312531862,0,0.0029987705040933218,0.13194590218010616,0.0059975410081866435
1r CFAM,100,81.69014084507042,0,0,1.1523687580025608,1.6645326504481435,2.0486555697823303,0.2560819462227913,0,0,10.88348271446863,63.89244558258643,1.6645326504481435,0.12804097311139565
2n CFAM,100,69.87951807228916,0,0,0.30120481927710846,1.2048192771084338,1.6566265060240966,0,6.024096385542169,0.15060240963855423,1.2048192771084338,20.33132530120482,37.95180722891566,1.0542168674698795
1r CFAS,100,80.46511627906976,0,0,0,0,0.46511627906976744,0,1.2209302325581395,0.05813953488372093,0,0.11627906976744186,10.290697674418604,68.31395348837209
2n CFAS,100,40.411311053984576,0,0,0,0,0.2056555269922879,0.051413881748071974,2.313624678663239,0.15424164524421594,0.051413881748071974,0.2570694087403599,4.061696658097686,33.31619537275064
Total,100,74.79161341092383,0.6024790861565142,20.145457097173562,13.080863519941458,11.466650627289997,7.617701457077124,6.403721135387376,6.0586239217278415,8.321930338982202,0.18545529274368575,0.16565668716699497,0.2831952443248174,0.45987900295224776
